,,A,B,C,D,E,F,G,H,I,J,K,L
epoch0,bbox, 0.071, 0.176, 0.030, 0.058, 0.011, 0.104, 0.076, 0.127, 0.183, 0.075, 0.143, 0.243
epoch0,segm, 0.095, 0.211, 0.050, 0.001, 0.000, 0.149, 0.097, 0.148, 0.178, 0.079, 0.000, 0.221
epoch1,bbox, 0.139, 0.270, 0.135, 0.153, 0.061, 0.158, 0.152, 0.235, 0.268, 0.171, 0.197, 0.314
epoch1,segm, 0.145, 0.279, 0.100, 0.087, 0.000, 0.197, 0.144, 0.202, 0.214, 0.133, 0.000, 0.244
epoch2,bbox, 0.110, 0.203, 0.116, 0.138, 0.079, 0.149, 0.124, 0.251, 0.268, 0.154, 0.243, 0.278
epoch2,segm, 0.106, 0.207, 0.107, 0.030, 0.024, 0.192, 0.132, 0.203, 0.216, 0.092, 0.080, 0.248
epoch3,bbox, 0.122, 0.204, 0.118, 0.119, 0.095, 0.184, 0.124, 0.260, 0.297, 0.125, 0.210, 0.376
epoch3,segm, 0.119, 0.211, 0.132, 0.003, 0.006, 0.197, 0.127, 0.195, 0.214, 0.083, 0.040, 0.256
epoch4,bbox, 0.131, 0.207, 0.161, 0.143, 0.094, 0.199, 0.148, 0.257, 0.313, 0.154, 0.230, 0.381
epoch4,segm, 0.121, 0.219, 0.129, 0.003, 0.007, 0.198, 0.135, 0.189, 0.222, 0.100, 0.050, 0.251
